id,class,start_frame,end_frame,start_xy,end_xy,turn
1750,truck,255,268,"(338, 286)","(337, 287)",turn_0
1846,car,268,269,"(38, 181)","(38, 180)",unknown
1834,truck,266,270,"(219, 273)","(227, 267)",turn_0
1606,bicycle,230,271,"(534, 379)","(495, 421)",turn_1
1833,truck,266,271,"(305, 31)","(303, 34)",turn_0
1858,bicycle,270,271,"(117, 226)","(117, 226)",unknown
1850,motorcycle,269,272,"(240, 195)","(240, 194)",unknown
1869,bicycle,272,275,"(48, 330)","(48, 329)",unknown
1486,motorcycle,273,275,"(261, 232)","(265, 229)",unknown
1668,motorcycle,243,278,"(256, 237)","(285, 204)",turn_0
1896,truck,276,278,"(506, 313)","(506, 314)",unknown
1701,bus,249,279,"(316, 50)","(304, 40)",turn_0
1879,car,274,279,"(265, 422)","(264, 423)",turn_0
1889,car,275,279,"(754, 386)","(754, 390)",turn_1
1757,car,256,280,"(55, 133)","(54, 127)",turn_0
843,bus,114,281,"(441, 254)","(429, 261)",turn_1
1772,truck,258,281,"(445, 349)","(445, 337)",turn_1
1855,motorcycle,269,281,"(610, 186)","(614, 186)",turn_1
1907,motorcycle,278,282,"(105, 130)","(104, 131)",turn_0
1862,bus,271,284,"(593, 76)","(595, 75)",turn_1
1926,truck,281,284,"(316, 69)","(316, 68)",unknown
1932,car,283,286,"(754, 393)","(753, 396)",unknown
1703,bus,249,287,"(389, 44)","(392, 50)",turn_1
1209,car,175,288,"(452, 278)","(450, 279)",turn_1
1769,car,257,289,"(433, 97)","(434, 100)",turn_1
1933,truck,283,289,"(506, 314)","(506, 312)",turn_1
1937,truck,284,290,"(337, 288)","(336, 288)",turn_0
37,car,1,292,"(267, 424)","(264, 429)",turn_0
1972,truck,293,295,"(337, 288)","(337, 287)",unknown
1986,truck,296,297,"(267, 230)","(268, 228)",unknown
1880,bus,274,298,"(279, 350)","(279, 352)",turn_0
1985,car,296,302,"(66, 159)","(66, 159)",turn_0
2013,bus,301,302,"(753, 404)","(753, 404)",unknown
86,bus,1,305,"(268, 8)","(256, 5)",turn_0
2027,car,303,305,"(223, 60)","(223, 60)",unknown
2009,bus,301,307,"(87, 57)","(88, 58)",turn_0
1704,truck,249,309,"(373, 248)","(371, 249)",turn_0
1829,motorcycle,266,309,"(262, 241)","(312, 184)",turn_0
2062,bus,309,309,"(752, 408)","(752, 408)",unknown
2064,truck,309,309,"(752, 408)","(752, 408)",unknown
1922,car,280,310,"(259, 75)","(259, 75)",turn_0
2066,car,310,313,"(338, 51)","(338, 50)",unknown
2079,truck,312,313,"(314, 58)","(314, 57)",unknown
2082,truck,313,313,"(752, 410)","(752, 410)",unknown
1285,car,185,321,"(262, 235)","(296, 200)",turn_0
1547,bicycle,217,322,"(51, 327)","(60, 321)",turn_0
1859,truck,270,322,"(507, 253)","(506, 255)",turn_1
2134,truck,322,322,"(337, 288)","(337, 288)",unknown
1931,motorcycle,283,323,"(43, 417)","(184, 313)",turn_0
2056,car,307,328,"(281, 415)","(279, 418)",turn_0
2150,bicycle,325,328,"(67, 317)","(67, 315)",unknown
2159,motorcycle,326,328,"(90, 393)","(93, 388)",unknown
50,bus,1,329,"(246, 8)","(238, 5)",turn_0
2089,bus,314,329,"(505, 288)","(505, 288)",turn_1
2038,bus,305,332,"(279, 350)","(279, 354)",turn_0
2138,car,323,332,"(93, 83)","(93, 85)",turn_0
63,truck,1,333,"(463, 71)","(464, 63)",turn_1
1109,car,161,333,"(26, 98)","(19, 97)",turn_0
1849,bicycle,269,333,"(58, 325)","(67, 318)",turn_0
2137,motorcycle,323,334,"(310, 163)","(313, 153)",turn_0
2189,bicycle,332,335,"(55, 320)","(57, 320)",unknown
2209,bus,335,337,"(279, 352)","(279, 352)",unknown
120,car,7,339,"(752, 406)","(751, 423)",turn_1
2230,bus,340,341,"(279, 352)","(279, 352)",unknown
2155,motorcycle,326,346,"(248, 187)","(250, 185)",turn_0
2167,motorcycle,343,346,"(339, 143)","(340, 142)",unknown
2231,car,340,347,"(223, 60)","(223, 60)",turn_0
2252,bus,345,350,"(371, 249)","(372, 250)",turn_0
2221,bus,337,352,"(387, 49)","(392, 46)",turn_1
1372,car,197,355,"(419, 93)","(421, 95)",turn_1
2263,truck,348,355,"(505, 290)","(504, 290)",turn_1
2289,truck,352,355,"(335, 290)","(336, 290)",unknown
2219,truck,337,361,"(15, 82)","(13, 81)",turn_0
2271,car,349,362,"(449, 284)","(450, 287)",turn_1
1695,motorcycle,248,364,"(245, 245)","(286, 207)",turn_0
2161,motorcycle,327,364,"(334, 162)","(342, 129)",turn_0
1865,car,271,366,"(530, 244)","(529, 246)",turn_1
2234,bus,340,368,"(50, 74)","(52, 74)",turn_0
2303,car,354,369,"(346, 12)","(349, 13)",turn_0
2384,motorcycle,368,369,"(316, 129)","(316, 128)",unknown
2336,motorcycle,362,372,"(342, 126)","(341, 117)",turn_0
2388,bus,369,372,"(440, 352)","(439, 352)",unknown
2399,truck,371,372,"(79, 116)","(80, 116)",unknown
2376,truck,367,375,"(322, 399)","(321, 400)",turn_0
2424,motorcycle,375,375,"(124, 334)","(124, 334)",unknown
2409,truck,372,376,"(13, 139)","(13, 139)",turn_0
